product_id,product_name,upc,vendor,sku,price,in_stock,has_variants,product_url,product_cart_id,quantity_10Apr2023,quantity_13Apr2023,quantity_28Apr2023,quantity_25May2023,quantity_26May2023
232282OB,100 Watt Helio PTC Smart Heater (OPEN BOX),,Innovative Marine,232282OB,89.99,True,False,https://www.bulkreefsupply.com/100-watt-helio-ptc-smart-heater-innovative-marine-ob-a.html,16145,,,,2,
210375,2-Pack Replacement Liberty Activated Carbon Cartridge - Eheim (DISCONTINUED),,Eheim,210375,8.29,False,True,https://www.bulkreefsupply.com/replacement-liberty-activated-carbon-cartridge-eheim.html,5962,10,10,0,0,
209359,Zooplanktos-L - Zooplankton 500-2K micron 500 mL- Brightwell Aquatics (DISCONTINUED),,Brightwell Aquatics,209359,15.39,False,True,https://www.bulkreefsupply.com/zooplanktos-l-zooplankton-500-2k-micron-brightwell-aquatics.html,4676,17,17,0,0,
213115,Coral System 3 - 5L - Korallen-Zucht,,Korallen-Zucht,213115,213.83,False,True,https://www.bulkreefsupply.com/coral-system-component-3-korallen-zucht.html,10734,143,0,0,0,
210534,1000 mL Carbon - Aquaforest,,AquaForest,210534,20.89,False,True,https://www.bulkreefsupply.com/carbon-aquaforest.html,5899,45,1,0,0,
210538,500 mL Phosphate Minus - Aquaforest (DISCONTINUED),,AquaForest,210538,17.99,False,True,https://www.bulkreefsupply.com/phosphate-minus-aquaforest.html,5905,91,53,0,0,
251959,Core7 Flex Base Elements 4000mL Set,,Triton,251959,147,True,False,https://www.bulkreefsupply.com/core7-flex-base-elements-4000ml-set-triton.html,16171,,,,23,
210609,36“ LED/MH Hybrid Pendant 150W DE - Reef Brite (DISCONTINUED),,Reef Brite,210609,923.92,False,True,https://www.bulkreefsupply.com/36-de-led-mh-hybrid-pendant-reef-brite.html,6120,0,0,0,0,
211517,15g Reef Cell Small Microcapsule Food (10 - 80 Microns) - New Life Spectrum (DISCONTINUED),,New Life Spectrum,211517,5.98,False,True,https://www.bulkreefsupply.com/reef-cell-small-microcapsule-food-10-80-microns-new-life-spectrum-discontinued.html,7523,0,0,0,0,
208390,Schedule 80 Reducing Bushing 3/4” Spigot x 1/4” Female Thread,,Bulk Reef Supply,208390,2.67,True,True,https://www.bulkreefsupply.com/schedule-80-reducing-bushing-spigot-x-female-thread.html,3387,10,4,59,57,
210974,48“ Supra Slim Line Single T5 Retrofit - Reef Brite (DISCONTINUED),,Reef Brite,210974,127.8,False,True,https://www.bulkreefsupply.com/supra-slim-line-single-t5-retrofit-fixture-reef-brite.html,6472,14,14,0,0,
200034,TDS-3 Handheld TDS Meter,891144000083,HM Digital,200034,20.74,True,False,https://www.bulkreefsupply.com/tds-3-handheld-tds-meter-hm-digital.html,401,9,7,0,9,
211821,8“ Actinic Blue Lumi Lite Pro LED Strip Light - Reef Brite (DISCONTINUED),,Reef Brite,211821,93.6,False,True,https://www.bulkreefsupply.com/actinic-blue-lumi-lite-pro-led-strip-light-reef-brite.html,8428,1,0,0,0,
211824,18“ Actinic Blue Lumi Lite Pro LED Strip Light - Reef Brite (DISCONTINUED),,Reef Brite,211824,108,False,True,https://www.bulkreefsupply.com/actinic-blue-lumi-lite-pro-led-strip-light-reef-brite.html,8429,1,0,0,0,
211827,24“ Actinic Blue Lumi Lite Pro LED Strip Light - Reef Brite (DISCONTINUED),,Reef Brite,211827,142.2,False,True,https://www.bulkreefsupply.com/actinic-blue-lumi-lite-pro-led-strip-light-reef-brite.html,8430,1,0,0,0,
211830,30“ Actinic Blue Lumi Lite Pro LED Strip Light - Reef Brite (DISCONTINUED),,Reef Brite,211830,146.7,False,True,https://www.bulkreefsupply.com/actinic-blue-lumi-lite-pro-led-strip-light-reef-brite.html,8431,1,0,0,0,
212456OB,Hydra 32 HD LED Reef Light - Black Body (OPEN BOX),,Aqua Illumination,212456OB,359.99,False,False,https://www.bulkreefsupply.com/hydra-32-hd-led-reef-light-black-aqua-illumination-1.html,9777,0,0,0,0,
211817,16“ Decorative Endcap for Hybrid Fixtures - Aquatic Life (DISCONTINUED),,Aquatic Life,211817,14.99,False,True,https://www.bulkreefsupply.com/decor-endcap-for-hybrid-fixtures-aquatic-life.html,8208,12,12,0,0,
212747,1oz Clean PomPom Algae - AlgaeBarn,,AlgaeBarn,212747,15,False,True,https://www.bulkreefsupply.com/pom-pom-live-pom-pom-gracilaria-algae-algaebarn.html,10209,1,0,0,0,
211719,1/2“ x 24“ Red Schedule 40 Pipe,,Bulk Reef Supply,211719,2.49,False,True,https://www.bulkreefsupply.com/24-red-schedule-40-pipe.html,9342,29,19,0,0,
211720,3/4“ x 24“ Red Schedule 40 Pipe,,Bulk Reef Supply,211720,2.49,False,True,https://www.bulkreefsupply.com/24-red-schedule-40-pipe.html,9343,29,19,0,0,
211721,1“ x 24“ Red Schedule 40 Pipe,,Bulk Reef Supply,211721,2.99,False,True,https://www.bulkreefsupply.com/24-red-schedule-40-pipe.html,8269,29,19,0,0,
211754,1 1/4“ x 24“ Red Schedule 40 Pipe,,Bulk Reef Supply,211754,2.99,False,True,https://www.bulkreefsupply.com/24-red-schedule-40-pipe.html,9344,29,19,0,0,
211722,1 1/2“ x 24“ Red Schedule 40 Pipe,,Bulk Reef Supply,211722,2.99,False,True,https://www.bulkreefsupply.com/24-red-schedule-40-pipe.html,9345,29,19,16,0,
211723,2“ x 24“ Red Schedule 40 Pipe,,Bulk Reef Supply,211723,3.99,False,True,https://www.bulkreefsupply.com/24-red-schedule-40-pipe.html,9346,29,19,0,0,
212890,Syn-Biotic Sea Salt - 200 Gallon - Tropic Marin,,Tropic Marin,212890,125.53,False,True,https://www.bulkreefsupply.com/syn-biotic-seasalt-tropic-marin.html,10479,73,73,0,0,
212538OB,Pentair Smart UV Sterilizer Mounting Clamps (2-Pack) - Orange (OPEN BOX),,Neat Aquatics,212538OB,41.99,False,False,https://www.bulkreefsupply.com/uv-sterilizer-mounting-clamps-2-pack-orange-niche3d-open-box.html,10882,0,0,0,0,
212557B,150 gallon Dinoflagellate Treatment Bundle,,Dr.Tim‘s,212557B,45.64,False,False,https://www.bulkreefsupply.com/150-gallon-dinoflagellate-treatment-bundle-dr-tim-s-bundle.html,11218,0,0,0,0,
210083B,Float Switch with Splash Guard - Vertical Mount - With Nut (DISCONTINUED),,Bulk Reef Supply,210083B,24.06,False,False,https://www.bulkreefsupply.com/standard-float-switch-with-splash-guard-bundle.html,11085,0,0,0,0,
212561B,600W Titanium Aquarium Heater System (DISCONTINUED),,Bulk Reef Supply,212561B,84.99,False,False,https://www.bulkreefsupply.com/600w-titanium-aquarium-heater-system-bulk-reef-supply-bundle.html,11222,0,0,0,0,
212562B,1200W Titanium Aquarium Heater System (DISCONTINUED),,Bulk Reef Supply,212562B,141.09,False,False,https://www.bulkreefsupply.com/1200w-titanium-aquarium-heater-system-bulk-reef-supply-bundle.html,11223,0,0,0,0,
214022,ATI Elements - 100mL Lithium (DISCONTINUED),4260216218644,ATI,214022,16.1,False,False,https://www.bulkreefsupply.com/ati-elements-100ml-lithium-ati.html,11870,2,2,0,0,
212555B,80 gallon Dinoflagellate Treatment Bundle,,Dr.Tim‘s,212555B,28.21,False,False,https://www.bulkreefsupply.com/80-gallon-dinoflagellate-treatment-bundle-dr-tim-s-bundle.html,11216,14,11,0,0,
213842,60“ Day Plus OR3-150 LED Light Bar,,Orphek,213842,276.25,False,False,https://www.bulkreefsupply.com/60-day-plus-or3-150-led-light-bar-orphek.html,11932,0,1,0,0,
232239,100 mL Prime - Complete Concentrated Water Conditioner - Seachem,,Seachem,232239,4.52,False,True,https://www.bulkreefsupply.com/prime-complete-concentrated-water-conditioner-seachem.html,12511,30,17,0,0,
232202,2x Philips CoralCare LED Lights (Black) - Bundle with FREE Controller,,Philips,232202,1949.97,False,False,https://www.bulkreefsupply.com/2x-philips-coralcare-led-light-black-bundle-with-free-controller-philips.html,11971,0,0,0,0,
211006,4oz Re-Fresh Natural Sparkling Water for Saltwater - Dr.Tim‘s,,Dr.Tim‘s,211006,14.43,False,True,https://www.bulkreefsupply.com/re-fresh-natural-sparkling-water-for-saltwater-dr-tim-s.html,6504,0,11,0,0,
232681B,10 Gallon FOWLR Starter Aquarium Bundle,,Bulk Reef Supply,232681B,165.99,False,False,https://www.bulkreefsupply.com/10-gallon-fowlr-starter-aquarium-bundle-bulk-reef-supply.html,15441,4,0,0,0,
231998,32mm to 1“ Metric to Standard PVC Union - Slip X Slip - Adaptive Reef,,Adaptive Reef,231998,23.24,False,True,https://www.bulkreefsupply.com/metric-to-standard-pvc-union-slip-x-slip-adaptive-reef.html,12422,7,169,0,0,
231899OB,Hydros DC Micro Pump (OPEN BOX) - Coralvue,,Coralvue,231899OB,21.24,False,False,https://www.bulkreefsupply.com/hydros-dc-micro-pump-coralvue-ob-a.html,12165,1,1,0,0,
231893OB,Hydros ATO Kit (OPEN BOX),,Coralvue,231893OB,63.99,False,False,https://www.bulkreefsupply.com/hydros-ato-kit-hydros-ob-a.html,12164,2,0,0,0,
250210,High Flow Filter Media Cup 7 inch - Sea Foam White - Media Cup,711639503427,Filter Media Cup,250210,17.42,False,False,https://www.bulkreefsupply.com/high-flow-filter-media-cup-7-inch-sea-foam-white.html,12921,45,41,0,0,
250401B,Nuvo 20 Beginner Tank Bundle (DISCONTINUED),"6940005106960,008479017925,853710007124,810086014996,720686361362",Bulk Reef Supply,250401B,469.99,False,False,https://www.bulkreefsupply.com/nuvo-20-beginner-tank-bundle-bulk-reef-supply.html,13181,0,0,0,0,
250482B,Thomas‘ 6ft SPS Dominant Powerhead Bundle (DISCONTINUED),,Bulk Reef Supply,250482B,2369.94,False,False,https://www.bulkreefsupply.com/thomas-6ft-sps-dominant-powerhead-bundle-bulk-reef-supply.html,13490,0,0,0,0,
251029B,Innovative Marine Nuvo 20 Peninsula Tank Wizard Bundle,,Bulk Reef Supply,251029B,753.21,False,False,https://www.bulkreefsupply.com/innovative-marine-nuvo-20-peninsula-tank-wizard-bundle-bulk-reef-supply.html,14736,0,0,0,0,
251223B,Cube 20 Nano AIO Aquarium and Stand (White) - Waterbox,"850000451599, 810039390184",Waterbox Aquariums,251223B,698.99,False,False,https://www.bulkreefsupply.com/cube-20-nano-aio-aquarium-and-stand-white-waterbox.html,14925,0,0,0,0,
251144B,200W Titanium Aquarium Heater w/ Helio Controller - Redundancy Bundle,,Bulk Reef Supply,251144B,182.59,False,False,https://www.bulkreefsupply.com/200w-titanium-aquarium-heater-w-helio-controller-redundancy-bundle-bulk-reef-supply.html,14418,0,0,0,0,
251833OB,Jumpguard DIY Aquarium Cover (47.25 x 29.5 inches) (OPEN BOX) - D-D The Aquarium Solution,,D-D The Aquarium Solution Ltd,251833OB,45.6,False,False,https://www.bulkreefsupply.com/jumpguard-diy-aquarium-cover-47-25-x-29-5-inches-d-d-the-aquarium-solution-ob-a.html,15576,3,0,0,0,
250598OB,20 NUVO Fusion Peninsula PRO 2 AIO Aquarium Bundle (OPEN BOX),,Innovative Marine,250598OB,359.99,False,False,https://www.bulkreefsupply.com/20-nuvo-fusion-peninsula-pro-2-aio-aquarium-bundle-innovative-marine-ob-a.html,14376,,1,0,0,
204330,24W 24” T5 Aquablue Special - ATI,,ATI,204330,20.95,True,True,https://www.bulkreefsupply.com/t5-ati-aquablue-special.html,516,20,20,21,12,
251466OB,2.1L Gravity-Fed Nano Auto Top Off System (OPEN BOX),,Flipper,251466OB,47.99,False,False,https://www.bulkreefsupply.com/nano-auto-top-off-system-with-2-1l-clear-reservoir-flipper-ob-a.html,15595,1,1,1,0,
208542,Case (40) - 2.5“ x 10“ - 1 Micron Purtrex Depth Sediment Filter - GE Water Technologies,,GE Water Technologies,208542,110.38,True,True,https://www.bulkreefsupply.com/10-purtrex-sediment-filter.html,3476,999,36,38,26,
204331,39W 36” T5 Aquablue Special - ATI,,ATI,204331,21.95,True,True,https://www.bulkreefsupply.com/t5-ati-aquablue-special.html,517,20,20,21,4,
